iteration,N,M_min,M_max,M_ratio,alpha_true,fit_method,alpha_fit,alpha_uncertainty,convergence_status,timestamp,runtime_ms,r_squared
0,10,0.1,100.0,1000.0,2.35,mle,2.314945171885892,0.4158221741401026,True,2026-02-03T10:10:45.568379,0.10466575622558594,
0,10,0.1,100.0,1000.0,2.35,ls,1.6081151923901684,0.15152824463233466,True,2026-02-03T10:10:45.568396,15.215158462524414,0.9740547710565862
1,10,0.1,100.0,1000.0,2.35,mle,2.694790327565838,0.5359397591530899,True,2026-02-03T10:10:45.568700,0.05698204040527344,
2,10,0.1,100.0,1000.0,2.35,mle,3.274945420564824,0.7194009081554501,True,2026-02-03T10:10:45.568905,0.03981590270996094,
3,10,0.1,100.0,1000.0,2.35,mle,2.1862802486100517,0.37513475288785575,True,2026-02-03T10:10:45.569378,0.03910064697265625,
3,10,0.1,100.0,1000.0,2.35,ls,1.233818896003155,0.37656374318232033,True,2026-02-03T10:10:45.569387,0.38433074951171875,0.7815892530180821
4,10,0.1,100.0,1000.0,2.35,mle,3.003968598159666,0.6337105129639256,True,2026-02-03T10:10:45.569594,0.040531158447265625,
5,10,0.1,100.0,1000.0,2.35,mle,1.9475781251520374,0.29965051364325246,True,2026-02-03T10:10:45.570030,0.037670135498046875,
5,10,0.1,100.0,1000.0,2.35,ls,1.2859784958807825,0.27380356419164525,True,2026-02-03T10:10:45.570038,0.35834312438964844,0.8465031847068124
6,10,0.1,100.0,1000.0,2.35,mle,2.3103094046819925,0.4143562158334393,True,2026-02-03T10:10:45.570251,0.04124641418457031,
7,10,0.1,100.0,1000.0,2.35,mle,2.677672906975976,0.5305267554799872,True,2026-02-03T10:10:45.570526,0.03790855407714844,
8,10,0.1,100.0,1000.0,2.35,mle,2.445367814252127,0.4570654349735901,True,2026-02-03T10:10:45.570718,0.03695487976074219,
9,10,0.1,100.0,1000.0,2.35,mle,2.8693668286094924,0.5911456960771609,True,2026-02-03T10:10:45.570931,0.03719329833984375,
10,10,0.1,100.0,1000.0,2.35,mle,2.9081610768549866,0.6034135145341362,True,2026-02-03T10:10:45.571146,0.042438507080078125,
11,10,0.1,100.0,1000.0,2.35,mle,2.0616894199870393,0.3357356734862138,True,2026-02-03T10:10:45.571559,0.038623809814453125,
11,10,0.1,100.0,1000.0,2.35,ls,1.213792757408622,0.3341317869923227,True,2026-02-03T10:10:45.571567,0.3364086151123047,0.7673923638360962
12,10,0.1,100.0,1000.0,2.35,mle,2.4031290065467896,0.44370835117371643,True,2026-02-03T10:10:45.571758,0.03814697265625,
13,10,0.1,100.0,1000.0,2.35,mle,2.2802562438370515,0.4048525719176989,True,2026-02-03T10:10:45.572163,0.036716461181640625,
13,10,0.1,100.0,1000.0,2.35,ls,1.5027493145331794,0.25467245826520385,True,2026-02-03T10:10:45.572171,0.3292560577392578,0.9206735860379852
14,10,0.1,100.0,1000.0,2.35,mle,2.9268542499825907,0.6093248149120444,True,2026-02-03T10:10:45.572416,0.03933906555175781,
15,10,0.1,100.0,1000.0,2.35,mle,2.1131308062183103,0.352002868134938,True,2026-02-03T10:10:45.572827,0.037670135498046875,
15,10,0.1,100.0,1000.0,2.35,ls,1.3615226945447285,0.2753712892028006,True,2026-02-03T10:10:45.572834,0.3311634063720703,0.8906954961883732
16,10,0.1,100.0,1000.0,2.35,mle,3.0282280275574616,0.6413820181272336,True,2026-02-03T10:10:45.573030,0.03790855407714844,
17,10,0.1,100.0,1000.0,2.35,mle,2.704514490629692,0.5390148095151559,True,2026-02-03T10:10:45.573213,0.03600120544433594,
18,10,0.1,100.0,1000.0,2.35,mle,2.331711231682326,0.4211240677744336,True,2026-02-03T10:10:45.573605,0.03552436828613281,
18,10,0.1,100.0,1000.0,2.35,ls,1.7081372278952702,0.23743835496573176,True,2026-02-03T10:10:45.573613,0.3197193145751953,0.9282562448542263
19,10,0.1,100.0,1000.0,2.35,mle,1.9793042424157563,0.3096831928299465,True,2026-02-03T10:10:45.573824,0.0400543212890625,
20,10,0.1,100.0,1000.0,2.35,mle,3.289418269639354,0.7239776248861876,True,2026-02-03T10:10:45.574008,0.0362396240234375,
21,10,0.1,100.0,1000.0,2.35,mle,2.4205074605816796,0.449203900869996,True,2026-02-03T10:10:45.574186,0.035762786865234375,
22,10,0.1,100.0,1000.0,2.35,mle,2.29969992265995,0.41100120303501303,True,2026-02-03T10:10:45.574635,0.03528594970703125,
22,10,0.1,100.0,1000.0,2.35,ls,1.5075808801347215,0.15577852063114445,True,2026-02-03T10:10:45.574643,0.37026405334472656,0.9689628185097586
23,10,0.1,100.0,1000.0,2.35,mle,2.9551991365142545,0.6182882550579532,True,2026-02-03T10:10:45.574848,0.04982948303222656,
24,10,0.1,100.0,1000.0,2.35,mle,1.6535786560527899,0.206679718319861,True,2026-02-03T10:10:45.575330,0.1049041748046875,
24,10,0.1,100.0,1000.0,2.35,ls,0.6388742378779353,0.2742261533999583,True,2026-02-03T10:10:45.575338,0.33736228942871094,0.6440295006364664
25,10,0.1,100.0,1000.0,2.35,mle,2.4989267116463743,0.4740022454468979,True,2026-02-03T10:10:45.575747,0.038623809814453125,
25,10,0.1,100.0,1000.0,2.35,ls,1.812622299152801,0.34990352263784014,True,2026-02-03T10:10:45.575755,0.3337860107421875,0.8994503751503146
26,10,0.1,100.0,1000.0,2.35,mle,2.031787006763273,0.32627970015394986,True,2026-02-03T10:10:45.576176,0.03981590270996094,
26,10,0.1,100.0,1000.0,2.35,ls,1.344293902318361,0.14568511139630197,True,2026-02-03T10:10:45.576184,0.34332275390625,0.965965092811058
27,10,0.1,100.0,1000.0,2.35,mle,1.922140603602733,0.29160646303071075,True,2026-02-03T10:10:45.576383,0.03933906555175781,
28,10,0.1,100.0,1000.0,2.35,mle,3.0064447202876226,0.634493531532834,True,2026-02-03T10:10:45.576581,0.03743171691894531,
29,10,0.1,100.0,1000.0,2.35,mle,3.2898216020915614,0.7241051698065112,True,2026-02-03T10:10:45.576760,0.03552436828613281,
30,10,0.1,100.0,1000.0,2.35,mle,2.269388717549942,0.401415958357797,True,2026-02-03T10:10:45.577155,0.03409385681152344,
30,10,0.1,100.0,1000.0,2.35,ls,1.4738129917488405,0.17559235606238902,True,2026-02-03T10:10:45.577163,0.3230571746826172,0.959155216441072
