iteration,N,M_min,M_max,M_ratio,alpha_true,fit_method,alpha_fit,alpha_uncertainty,convergence_status,timestamp,runtime_ms,r_squared
0,100,0.1,100.0,1000.0,2.35,mle,2.4589877924824854,0.14589877924824854,True,2026-02-03T10:10:45.697760,0.08702278137207031,
0,100,0.1,100.0,1000.0,2.35,ls,2.416583050785435,0.2494632663511619,True,2026-02-03T10:10:45.697771,0.5118846893310547,0.939904137775927
1,100,0.1,100.0,1000.0,2.35,mle,2.4233544460387932,0.1423354446038793,True,2026-02-03T10:10:45.698219,0.041961669921875,
1,100,0.1,100.0,1000.0,2.35,ls,1.7232511224090952,0.15343327923188432,True,2026-02-03T10:10:45.698227,0.35834312438964844,0.940361485883677
2,100,0.1,100.0,1000.0,2.35,mle,2.3167618209359233,0.13167618209359233,True,2026-02-03T10:10:45.698651,0.041484832763671875,
2,100,0.1,100.0,1000.0,2.35,ls,2.165743282307498,0.11784104447346368,True,2026-02-03T10:10:45.698659,0.3390312194824219,0.9796965961313807
3,100,0.1,100.0,1000.0,2.35,mle,2.4142284760826174,0.14142284760826174,True,2026-02-03T10:10:45.699436,0.08034706115722656,
3,100,0.1,100.0,1000.0,2.35,ls,2.1493987159117443,0.16024810540973375,True,2026-02-03T10:10:45.699450,0.6411075592041016,0.9625482275760973
4,100,0.1,100.0,1000.0,2.35,mle,2.2716377553043383,0.12716377553043384,True,2026-02-03T10:10:45.699966,0.06413459777832031,
4,100,0.1,100.0,1000.0,2.35,ls,1.929444167084094,0.08944854523683433,True,2026-02-03T10:10:45.699975,0.39076805114746094,0.9830968202311251
5,100,0.1,100.0,1000.0,2.35,mle,2.369835788540795,0.1369835788540795,True,2026-02-03T10:10:45.700476,0.04410743713378906,
5,100,0.1,100.0,1000.0,2.35,ls,1.830949439938159,0.14174379327175973,True,2026-02-03T10:10:45.700485,0.4127025604248047,0.9597370404536746
6,100,0.1,100.0,1000.0,2.35,mle,2.576695102578581,0.1576695102578581,True,2026-02-03T10:10:45.700923,0.04673004150390625,
6,100,0.1,100.0,1000.0,2.35,ls,2.7438724527015483,0.3695816953416453,True,2026-02-03T10:10:45.700931,0.34689903259277344,0.9323406707070696
7,100,0.1,100.0,1000.0,2.35,mle,2.2078300461016043,0.12078300461016042,True,2026-02-03T10:10:45.701360,0.043392181396484375,
7,100,0.1,100.0,1000.0,2.35,ls,1.7401263392890138,0.13304116987196932,True,2026-02-03T10:10:45.701367,0.3390312194824219,0.9500211419925256
8,100,0.1,100.0,1000.0,2.35,mle,2.330948752881998,0.1330948752881998,True,2026-02-03T10:10:45.701854,0.04076957702636719,
8,100,0.1,100.0,1000.0,2.35,ls,2.0225757834831852,0.17140335412234084,True,2026-02-03T10:10:45.701862,0.4031658172607422,0.9586897009892552
9,100,0.1,100.0,1000.0,2.35,mle,2.4698446428113074,0.14698446428113074,True,2026-02-03T10:10:45.702284,0.04100799560546875,
9,100,0.1,100.0,1000.0,2.35,ls,2.3429003490693097,0.10021253072071003,True,2026-02-03T10:10:45.702292,0.3383159637451172,0.9891420870185782
10,100,0.1,100.0,1000.0,2.35,mle,2.517262473793851,0.1517262473793851,True,2026-02-03T10:10:45.702718,0.0400543212890625,
10,100,0.1,100.0,1000.0,2.35,ls,2.3817664286574525,0.12662486717004665,True,2026-02-03T10:10:45.702727,0.34356117248535156,0.9833241635050913
