iteration,N,M_min,M_max,M_ratio,alpha_true,fit_method,alpha_fit,alpha_uncertainty,convergence_status,timestamp,runtime_ms,r_squared
16,500,0.1,100.0,1000.0,2.35,ls,2.2195839734650074,0.1420181554251446,True,2026-02-03T10:10:45.767506,0.3628730773925781,0.9606704474487193
17,500,0.1,100.0,1000.0,2.35,mle,2.3407230508954093,0.05995895761606091,True,2026-02-03T10:10:45.767968,0.04673004150390625,
17,500,0.1,100.0,1000.0,2.35,ls,2.0273962931031324,0.1001782783909952,True,2026-02-03T10:10:45.767976,0.35691261291503906,0.9761661835582978
18,500,0.1,100.0,1000.0,2.35,mle,2.3810144942766507,0.0617608457423017,True,2026-02-03T10:10:45.768439,0.0476837158203125,
18,500,0.1,100.0,1000.0,2.35,ls,2.5006788683000694,0.07016959800136562,True,2026-02-03T10:10:45.768447,0.3578662872314453,0.992963480199068
19,500,0.1,100.0,1000.0,2.35,mle,2.3606697191540773,0.060850999739081285,True,2026-02-03T10:10:45.768908,0.047206878662109375,
19,500,0.1,100.0,1000.0,2.35,ls,2.097604985236282,0.1117282483500078,True,2026-02-03T10:10:45.768916,0.3552436828613281,0.9724114650954426
20,500,0.1,100.0,1000.0,2.35,mle,2.4011094736658194,0.06265952054071447,True,2026-02-03T10:10:45.769380,0.047206878662109375,
20,500,0.1,100.0,1000.0,2.35,ls,2.003961941056312,0.10444884019947229,True,2026-02-03T10:10:45.769388,0.35881996154785156,0.9709842905250752
21,500,0.1,100.0,1000.0,2.35,mle,2.417958013936195,0.06341301016803852,True,2026-02-03T10:10:45.769895,0.0476837158203125,
21,500,0.1,100.0,1000.0,2.35,ls,2.3242840954745656,0.10775437121171981,True,2026-02-03T10:10:45.769903,0.4010200500488281,0.98102362094357
22,500,0.1,100.0,1000.0,2.35,mle,2.3041360693654216,0.058322738060209274,True,2026-02-03T10:10:45.770412,0.055789947509765625,
22,500,0.1,100.0,1000.0,2.35,ls,2.0831406597046738,0.09837442797831766,True,2026-02-03T10:10:45.770420,0.3635883331298828,0.971825331425893
23,500,0.1,100.0,1000.0,2.35,mle,2.496570480041894,0.06692866652986335,True,2026-02-03T10:10:45.770881,0.047206878662109375,
23,500,0.1,100.0,1000.0,2.35,ls,2.1951213919514103,0.1579948296949575,True,2026-02-03T10:10:45.770907,0.3554821014404297,0.9507468985091714
24,500,0.1,100.0,1000.0,2.35,mle,2.452365646195196,0.06495176626155734,True,2026-02-03T10:10:45.771377,0.04863739013671875,
24,500,0.1,100.0,1000.0,2.35,ls,2.1630190132626317,0.06513792759718443,True,2026-02-03T10:10:45.771385,0.3604888916015625,0.9901229103620423
25,500,0.1,100.0,1000.0,2.35,mle,2.415631629167536,0.0633089710783477,True,2026-02-03T10:10:45.771845,0.04792213439941406,
25,500,0.1,100.0,1000.0,2.35,ls,2.1739833493245415,0.10256043325596838,True,2026-02-03T10:10:45.771853,0.354766845703125,0.9803629313749767
26,500,0.1,100.0,1000.0,2.35,mle,2.519469421220342,0.06795273831161892,True,2026-02-03T10:10:45.772311,0.04696846008300781,
26,500,0.1,100.0,1000.0,2.35,ls,2.379560446653972,0.03750925230757073,True,2026-02-03T10:10:45.772319,0.3521442413330078,0.997768711526004
27,500,0.1,100.0,1000.0,2.35,mle,2.321141681890971,0.05908325217233228,True,2026-02-03T10:10:45.772779,0.04649162292480469,
27,500,0.1,100.0,1000.0,2.35,ls,2.059376677839693,0.10621837302248452,True,2026-02-03T10:10:45.772787,0.35572052001953125,0.9690641893626597
28,500,0.1,100.0,1000.0,2.35,mle,2.331605939542706,0.059551228001199316,True,2026-02-03T10:10:45.773248,0.04649162292480469,
28,500,0.1,100.0,1000.0,2.35,ls,2.0870908374689603,0.10210678140570882,True,2026-02-03T10:10:45.773257,0.3566741943359375,0.9789130818615656
29,500,0.1,100.0,1000.0,2.35,mle,2.3443484877395857,0.060121092080695125,True,2026-02-03T10:10:45.773752,0.04649162292480469,
29,500,0.1,100.0,1000.0,2.35,ls,2.2657383586420097,0.05088057521821856,True,2026-02-03T10:10:45.773761,0.3902912139892578,0.9949823554841896
30,500,0.1,100.0,1000.0,2.35,mle,2.2932724381223863,0.05783690170137092,True,2026-02-03T10:10:45.774229,0.048160552978515625,
30,500,0.1,100.0,1000.0,2.35,ls,2.0287889773944348,0.07773970142705464,True,2026-02-03T10:10:45.774237,0.3612041473388672,0.9826855853076285
31,500,0.1,100.0,1000.0,2.35,mle,2.2937534949528766,0.05785841521685126,True,2026-02-03T10:10:45.774714,0.04673004150390625,
31,500,0.1,100.0,1000.0,2.35,ls,2.1618974807660147,0.1272042626201716,True,2026-02-03T10:10:45.774723,0.37169456481933594,0.9665379868162738
32,500,0.1,100.0,1000.0,2.35,mle,2.391814541348115,0.06224383853054153,True,2026-02-03T10:10:45.775311,0.047206878662109375,
32,500,0.1,100.0,1000.0,2.35,ls,2.2721498191532583,0.06394832359188136,True,2026-02-03T10:10:45.775323,0.47969818115234375,0.9921411704172998
33,500,0.1,100.0,1000.0,2.35,mle,2.3571868562372016,0.06069524137431234,True,2026-02-03T10:10:45.775942,0.06556510925292969,
33,500,0.1,100.0,1000.0,2.35,ls,2.253150346769878,0.10654491585965027,True,2026-02-03T10:10:45.775949,0.4611015319824219,0.9759937222317654
34,500,0.1,100.0,1000.0,2.35,mle,2.3411867569353584,0.05997969518059897,True,2026-02-03T10:10:45.776433,0.0476837158203125,
34,500,0.1,100.0,1000.0,2.35,ls,2.1359985794462917,0.14985391407057308,True,2026-02-03T10:10:45.776445,0.3752708435058594,0.9575817607309651
35,500,0.1,100.0,1000.0,2.35,mle,2.4101616825505228,0.06306434762896895,True,2026-02-03T10:10:45.776985,0.05173683166503906,
35,500,0.1,100.0,1000.0,2.35,ls,2.0259414098890183,0.12064501164854044,True,2026-02-03T10:10:45.776993,0.4019737243652344,0.9624561660112929
36,500,0.1,100.0,1000.0,2.35,mle,2.4565047750560276,0.06513687373156635,True,2026-02-03T10:10:45.777454,0.0476837158203125,
36,500,0.1,100.0,1000.0,2.35,ls,2.2792020654729397,0.10293193478549499,True,2026-02-03T10:10:45.777462,0.35572052001953125,0.980012150397791
37,500,0.1,100.0,1000.0,2.35,mle,2.293972017180173,0.057868187827947844,True,2026-02-03T10:10:45.778004,0.04696846008300781,
37,500,0.1,100.0,1000.0,2.35,ls,2.094925662253845,0.08462749939371078,True,2026-02-03T10:10:45.778012,0.4353523254394531,0.9823659619129229
38,500,0.1,100.0,1000.0,2.35,mle,2.374147470828026,0.06145374311761751,True,2026-02-03T10:10:45.778477,0.047206878662109375,
38,500,0.1,100.0,1000.0,2.35,ls,2.24038897197995,0.08018155887579802,True,2026-02-03T10:10:45.778487,0.3597736358642578,0.9861062798129555
39,500,0.1,100.0,1000.0,2.35,mle,2.4087070298791913,0.06299929358383398,True,2026-02-03T10:10:45.779055,0.05459785461425781,
39,500,0.1,100.0,1000.0,2.35,ls,2.339500944363976,0.04023589300768152,True,2026-02-03T10:10:45.779064,0.3867149353027344,0.9970508412968652
40,500,0.1,100.0,1000.0,2.35,mle,2.3482898423430982,0.060297354817032835,True,2026-02-03T10:10:45.779575,0.04792213439941406,
40,500,0.1,100.0,1000.0,2.35,ls,2.2183615225690607,0.07403672577898256,True,2026-02-03T10:10:45.779583,0.4029273986816406,0.9878958690023806
41,500,0.1,100.0,1000.0,2.35,mle,2.3608763359139346,0.060860239921487924,True,2026-02-03T10:10:45.780258,0.11539459228515625,
41,500,0.1,100.0,1000.0,2.35,ls,2.0026668071781546,0.1358634856076406,True,2026-02-03T10:10:45.780267,0.49877166748046875,0.9560006469029355
42,500,0.1,100.0,1000.0,2.35,mle,2.2978353324287237,0.058040960538233266,True,2026-02-03T10:10:45.780831,0.1308917999267578,
42,500,0.1,100.0,1000.0,2.35,ls,2.245980391259355,0.09397572055059662,True,2026-02-03T10:10:45.780839,0.370025634765625,0.9844878400655723
43,500,0.1,100.0,1000.0,2.35,mle,2.414746002779249,0.06326936466221013,True,2026-02-03T10:10:45.781303,0.04744529724121094,
43,500,0.1,100.0,1000.0,2.35,ls,2.2883607295364654,0.047507802229386796,True,2026-02-03T10:10:45.781321,0.35762786865234375,0.9961359562654993
44,500,0.1,100.0,1000.0,2.35,mle,2.3123843771063433,0.05869161359637004,True,2026-02-03T10:10:45.781792,0.04935264587402344,
44,500,0.1,100.0,1000.0,2.35,ls,2.204676161759438,0.057260387390003324,True,2026-02-03T10:10:45.781800,0.3600120544433594,0.9939656176758184
45,500,0.1,100.0,1000.0,2.35,mle,2.376497688660506,0.061558848054324655,True,2026-02-03T10:10:45.782260,0.046253204345703125,
45,500,0.1,100.0,1000.0,2.35,ls,2.2525212615799233,0.10981309158993016,True,2026-02-03T10:10:45.782267,0.3561973571777344,0.9722707014327642
46,500,0.1,100.0,1000.0,2.35,mle,2.436480029130642,0.06424133986913987,True,2026-02-03T10:10:45.782726,0.04696846008300781,
46,500,0.1,100.0,1000.0,2.35,ls,2.3044212879168793,0.1082758952304614,True,2026-02-03T10:10:45.782735,0.3535747528076172,0.9783998782387662
47,500,0.1,100.0,1000.0,2.35,mle,2.353933385356939,0.06054974173329067,True,2026-02-03T10:10:45.783221,0.04744529724121094,
47,500,0.1,100.0,1000.0,2.35,ls,2.373041447279982,0.05978591790613594,True,2026-02-03T10:10:45.783229,0.37980079650878906,0.994319902409106
48,500,0.1,100.0,1000.0,2.35,mle,2.201354055042584,0.05372618664240484,True,2026-02-03T10:10:45.783789,0.04696846008300781,
48,500,0.1,100.0,1000.0,2.35,ls,2.1343920680917075,0.09566853678768492,True,2026-02-03T10:10:45.783806,0.4546642303466797,0.9783783230735759
49,500,0.1,100.0,1000.0,2.35,mle,2.455063804273872,0.06507243155911653,True,2026-02-03T10:10:45.784277,0.047206878662109375,
49,500,0.1,100.0,1000.0,2.35,ls,2.175348067261827,0.10952657202926812,True,2026-02-03T10:10:45.784284,0.3638267517089844,0.9752765396545204
50,500,0.1,100.0,1000.0,2.35,mle,2.261510003333633,0.05641644243499978,True,2026-02-03T10:10:45.784746,0.0457763671875,
50,500,0.1,100.0,1000.0,2.35,ls,1.9120959272718283,0.09118767100115593,True,2026-02-03T10:10:45.784753,0.3573894500732422,0.9734331375718678
51,500,0.1,100.0,1000.0,2.35,mle,2.422000406416556,0.06359379145559495,True,2026-02-03T10:10:45.785214,0.04744529724121094,
51,500,0.1,100.0,1000.0,2.35,ls,2.313259962313713,0.1258641477177009,True,2026-02-03T10:10:45.785222,0.3552436828613281,0.9712468892477186
52,500,0.1,100.0,1000.0,2.35,mle,2.3189761538968776,0.058986406816292844,True,2026-02-03T10:10:45.785685,0.04673004150390625,
52,500,0.1,100.0,1000.0,2.35,ls,2.110944803877773,0.09163322736324486,True,2026-02-03T10:10:45.785693,0.3573894500732422,0.9778882714727705
53,500,0.1,100.0,1000.0,2.35,mle,2.3161838452008183,0.0588615309751218,True,2026-02-03T10:10:45.786197,0.04792213439941406,
53,500,0.1,100.0,1000.0,2.35,ls,2.0917877977496495,0.07926006098261835,True,2026-02-03T10:10:45.786213,0.39696693420410156,0.9844524845053463
54,500,0.1,100.0,1000.0,2.35,mle,2.341654466359674,0.06000061178192872,True,2026-02-03T10:10:45.786689,0.04839897155761719,
54,500,0.1,100.0,1000.0,2.35,ls,2.2143248468064334,0.08980652438611299,True,2026-02-03T10:10:45.786698,0.3666877746582031,0.9838174252423149
55,500,0.1,100.0,1000.0,2.35,mle,2.3831711217231,0.06185729305374975,True,2026-02-03T10:10:45.787215,0.04696846008300781,
55,500,0.1,100.0,1000.0,2.35,ls,1.9200412885816545,0.10858458436061492,True,2026-02-03T10:10:45.787224,0.4105567932128906,0.9630392770960211
56,500,0.1,100.0,1000.0,2.35,mle,2.436330258778357,0.06423464193536539,True,2026-02-03T10:10:45.787738,0.0858306884765625,
56,500,0.1,100.0,1000.0,2.35,ls,2.358107280116481,0.03724329559262079,True,2026-02-03T10:10:45.787746,0.36978721618652344,0.9977600531598123
57,500,0.1,100.0,1000.0,2.35,mle,2.3231495082302107,0.05917304489596337,True,2026-02-03T10:10:45.788208,0.0457763671875,
57,500,0.1,100.0,1000.0,2.35,ls,2.1927852943955797,0.06360795982499722,True,2026-02-03T10:10:45.788217,0.3581047058105469,0.9908288867368885
58,500,0.1,100.0,1000.0,2.35,mle,2.2691396463617344,0.05675765044409763,True,2026-02-03T10:10:45.788679,0.04649162292480469,
58,500,0.1,100.0,1000.0,2.35,ls,2.095012988186163,0.06925089985085241,True,2026-02-03T10:10:45.788695,0.35881996154785156,0.9881236934040074
59,500,0.1,100.0,1000.0,2.35,mle,2.4540630736279407,0.06502767752408714,True,2026-02-03T10:10:45.789200,0.048160552978515625,
59,500,0.1,100.0,1000.0,2.35,ls,2.5519628724748813,0.08417902073415916,True,2026-02-03T10:10:45.789208,0.39577484130859375,0.9924410444383736
60,500,0.1,100.0,1000.0,2.35,mle,2.355445157790352,0.06061735025184311,True,2026-02-03T10:10:45.789677,0.0476837158203125,
60,500,0.1,100.0,1000.0,2.35,ls,2.042023987529454,0.0828787188534125,True,2026-02-03T10:10:45.789685,0.36215782165527344,0.9806159475082559
61,500,0.1,100.0,1000.0,2.35,mle,2.3872706216712065,0.06204062826490421,True,2026-02-03T10:10:45.790146,0.04696846008300781,
61,500,0.1,100.0,1000.0,2.35,ls,1.9771868512071524,0.15281415973992366,True,2026-02-03T10:10:45.790153,0.35643577575683594,0.9383425094639232
62,500,0.1,100.0,1000.0,2.35,mle,2.390816562389177,0.06219920755469554,True,2026-02-03T10:10:45.790612,0.04696846008300781,
62,500,0.1,100.0,1000.0,2.35,ls,2.277365471259557,0.11361633569780734,True,2026-02-03T10:10:45.790620,0.3535747528076172,0.9804771350155204
