iteration,N,M_min,M_max,M_ratio,alpha_true,fit_method,alpha_fit,alpha_uncertainty,convergence_status,timestamp,runtime_ms,r_squared
0,50,0.1,100.0,1000.0,2.35,mle,2.180893479092728,0.16700355738508846,True,2026-02-03T10:10:45.625005,0.12254714965820312,
0,50,0.1,100.0,1000.0,2.35,ls,1.9357075599166138,0.1272080379385467,True,2026-02-03T10:10:45.625021,0.7174015045166016,0.9747424769405209
1,50,0.1,100.0,1000.0,2.35,mle,2.097429331144955,0.15519994438512297,True,2026-02-03T10:10:45.625676,0.06508827209472656,
1,50,0.1,100.0,1000.0,2.35,ls,1.6538955364117578,0.12097275570360823,True,2026-02-03T10:10:45.625686,0.5199909210205078,0.9589561825068709
2,50,0.1,100.0,1000.0,2.35,mle,2.1752123265698,0.16620012109030496,True,2026-02-03T10:10:45.627134,0.08487701416015625,
2,50,0.1,100.0,1000.0,2.35,ls,1.9108578263733416,0.1728465511298549,True,2026-02-03T10:10:45.627170,1.3048648834228516,0.9458279973322813
3,50,0.1,100.0,1000.0,2.35,mle,2.1539980795451834,0.16319997350453042,True,2026-02-03T10:10:45.627956,0.08416175842285156,
3,50,0.1,100.0,1000.0,2.35,ls,1.961643022596071,0.13933190702941672,True,2026-02-03T10:10:45.627970,0.5831718444824219,0.9658896057183313
4,50,0.1,100.0,1000.0,2.35,mle,2.2048428689217774,0.17039051257576868,True,2026-02-03T10:10:45.628587,0.06890296936035156,
4,50,0.1,100.0,1000.0,2.35,ls,1.8183012107315408,0.12627732115015167,True,2026-02-03T10:10:45.628597,0.4792213439941406,0.9628492695808002
5,50,0.1,100.0,1000.0,2.35,mle,2.976627783374484,0.27953738190116634,True,2026-02-03T10:10:45.629247,0.04363059997558594,
5,50,0.1,100.0,1000.0,2.35,ls,2.1424569021200686,0.2942628690801608,True,2026-02-03T10:10:45.629260,0.5586147308349609,0.9298361878772735
6,50,0.1,100.0,1000.0,2.35,mle,2.193760053739518,0.1688231658217661,True,2026-02-03T10:10:45.630049,0.07081031799316406,
6,50,0.1,100.0,1000.0,2.35,ls,1.7513553934475385,0.14724402465254977,True,2026-02-03T10:10:45.630064,0.6504058837890625,0.9528533441367671
7,50,0.1,100.0,1000.0,2.35,mle,2.3169587311594224,0.1862460898691318,True,2026-02-03T10:10:45.630826,0.07176399230957031,
7,50,0.1,100.0,1000.0,2.35,ls,1.6810277971202305,0.24018481362297675,True,2026-02-03T10:10:45.630840,0.6170272827148438,0.9245062269802806
