method,N,mean_alpha,std_alpha,bias,success_rate,count
mle,10,2.5420990291352723,0.5025217323147618,0.19209902913527221,1.0,100
mle,50,2.3769801270667825,0.17668914526335602,0.026980127066782433,1.0,100
mle,100,2.3830585947116045,0.12307454506947373,0.03305859471160444,1.0,100
mle,500,2.352518416937468,0.06571139024135865,0.0025184169374679044,1.0,100
ls,10,1.490184645174967,0.2443667776994232,-0.8598153548250331,1.0,48
ls,50,1.9633330858964113,0.23913178540571112,-0.3866669141035888,1.0,100
ls,100,2.077634294102449,0.2321095043032616,-0.27236570589755127,1.0,100
ls,500,2.175248443654015,0.12795765647978422,-0.17475155634598494,1.0,100
